"provinsi";"kabupaten";"urutan";"#desa"
SUMATERA BARAT;LIMA PULUH KOTA;5;79
NUSA TENGGARA BARAT;LOMBOK TIMUR;1;254
NUSA TENGGARA BARAT;BIMA;2;186
NUSA TENGGARA BARAT;SUMBAWA;3;162
NUSA TENGGARA BARAT;LOMBOK TENGAH;4;139
NUSA TENGGARA BARAT;LOMBOK BARAT;5;122
KALIMANTAN TIMUR;KUTAI KARTANEGARA;1;231
KALIMANTAN TIMUR;KUTAI BARAT;2;194
KALIMANTAN TIMUR;PASER;3;144
KALIMANTAN TIMUR;KUTAI TIMUR;4;140
KALIMANTAN TIMUR;BERAU;5;110
GORONTALO;GORONTALO;1;200
GORONTALO;BONE BOLANGO;2;162
GORONTALO;GORONTALO UTARA;3;122
GORONTALO;PAHUWATO;4;101
GORONTALO;BOALEMO;5;81
BALI;BULELENG;1;148
BALI;TABANAN;2;130
BALI;KARANGASEM;3;78
BALI;BANGLI;4;70
BALI;GIANYAR;5;70
SULAWESI BARAT;MAMASA;1;176
SULAWESI BARAT;POLEWALI MANDAR;2;167
SULAWESI BARAT;MAMUJU;3;101
SULAWESI BARAT;MAJENE;4;82
SULAWESI BARAT;PASANGKAYU;5;63
KALIMANTAN UTARA;NUNUKAN;1;239
KALIMANTAN UTARA;MALINAU;2;109
KALIMANTAN UTARA;BULUNGAN;3;81
KALIMANTAN UTARA;TANA TIDUNG;4;32
KALIMANTAN UTARA;KOTA TARAKAN;5;20
DAERAH ISTIMEWA YOGYAKARTA;GUNUNGKIDUL;1;140
DAERAH ISTIMEWA YOGYAKARTA;KULON PROGO;2;88
DAERAH ISTIMEWA YOGYAKARTA;SLEMAN;3;86
DAERAH ISTIMEWA YOGYAKARTA;BANTUL;4;75
DAERAH ISTIMEWA YOGYAKARTA;KOTA YOGYAKARTA;5;45
KEPULAUAN RIAU;LINGGA;1;82
KEPULAUAN RIAU;NATUNA;2;77
KEPULAUAN RIAU;KARIMUN;3;71
KEPULAUAN RIAU;KOTA BATAM;4;64
KEPULAUAN RIAU;KEPULAUAN ANAMBAS;5;54
KEPULAUAN BANGKA BELITUNG;BANGKA;1;79
KEPULAUAN BANGKA BELITUNG;BANGKA BARAT;2;64
KEPULAUAN BANGKA BELITUNG;BANGKA TENGAH;3;63
KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN;4;53
KEPULAUAN BANGKA BELITUNG;BELITUNG;5;49
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA SELATAN;1;65
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA TIMUR;2;65
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA BARAT;3;56
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA PUSAT;4;44
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA UTARA;5;31
